YEAR,TEAM,PRESEASON KADJ EM,KADJ EM CHANGE,KADJ EM RANK CHANGE
2026,Duke,38.1518,-0.7738,998
2026,Michigan,21.8201,15.3339,997
2026,Arizona,25.7423,9.8247,996
2026,Florida,35.8258,-1.9368,995
2026,Houston,35.4439,-2.4449,994
2026,Illinois,23.5881,10.1859,993
2026,Iowa St.,27.0002,4.1578,992
2026,Purdue,23.8002,8.5288,991
2026,Connecticut,19.3318,8.8252,990
2026,Vanderbilt,16.1626,12.4564,989
2026,Gonzaga,27.2891,-0.9861,988
2026,Michigan St.,27.5664,-0.7854,987
2026,Texas Tech,28.0555,-0.5465,986
2026,Virginia,26.46,0,0
2026,St. John's,26.3752,-0.6362,984
2026,Tennessee,31.4386,-5.3996,983
2026,Louisville,22.6465,3.2465,982
2026,Alabama,29.9064,-3.1844,981
2026,Nebraska,23.775,0,0
2026,Arkansas,17.6925,8.1925,979
2026,Wisconsin,26.4425,-0.8655,978
2026,Kansas,23.2603,0.2567,977
2026,Ohio St.,23.691,0,0
2026,Saint Mary's,23.0917,-1.2477,975
2026,UCLA,21.7873,0.9847,974
2026,Iowa,21.95,0,0
2026,North Carolina,19.5367,1.9133,972
2026,Santa Clara,21.312,0,0
2026,Utah St.,15.2291,5.7109,970
2026,Clemson,23.9175,-4.2985,969
2026,Kentucky,24.2565,-4.2855,968
2026,Cincinnati,18.648,0,0
2026,BYU,22.3965,-1.9445,966
2026,Indiana,19.857,0,0
2026,Miami FL,19.644,0,0
2026,Villanova,19.104,0,0
2026,Georgia,19.3641,0.2299,962
2026,N.C. State,19.466,0,0
2026,Texas A&M,24.0735,-5.5465,960
2026,Oklahoma,18.345,0.955,959
2026,Auburn,35.0385,-16.6095,958
2026,SMU,18.115,0,0
2026,Saint Louis,17.356,0,0
2026,San Diego St.,16.2735,-0.1355,955
2026,Texas,17.1527,0.5393,954
2026,Missouri,24.3888,-7.4868,953
2026,Baylor,21.1589,-4.3419,952
2026,TCU,15.235,0,0
2026,VCU,20.7041,-5.0621,950
2026,Florida St.,15.507,0,0
2026,South Florida,14.951,0,0
2026,Washington,14.613,0,0
2026,New Mexico,17.3279,-2.9529,946
2026,Virginia Tech,14.512,0,0
2026,Grand Canyon,7.2181,6.3499,944
2026,Boise St.,14.325,0,0
2026,UCF,14.365,0,0
2026,Minnesota,13.88,0,0
2026,Stanford,13.387,0,0
2026,Seton Hall,12.429,0,0
2026,Arizona St.,12.898,0,0
2026,West Virginia,11.916,0,0
2026,Northwestern,12.699,0,0
2026,Mississippi,22.0726,-9.6676,935
2026,Tulsa,12.738,0,0
2026,USC,11.831,0,0
2026,Wake Forest,12.285,0,0
2026,California,11.662,0,0
2026,LSU,12.088,0,0
2026,Northern Iowa,11.143,0,0
2026,Akron,6.5726,5.2394,928
2026,Butler,11.648,0,0
2026,McNeese St.,13.6921,-2.6881,926
2026,Providence,11.73,0,0
2026,Oklahoma St.,11.308,0,0
2026,Marquette,21.5878,-10.9708,923
2026,Colorado,11.199,0,0
2026,Dayton,10.475,0,0
2026,Georgetown,10.755,0,0
2026,Nevada,10.749,0,0
2026,Belmont,11.122,0,0
2026,Syracuse,10.514,0,0
2026,George Washington,10.423,0,0
2026,Wichita St.,9.79,0,0
2026,Creighton,18.7025,-9.1275,914
2026,Utah Valley,8.934,0,0
2026,Miami OH,9.087,0,0
2026,Colorado St.,17.2994,-8.2254,911
2026,Stephen F. Austin,8.505,0,0
2026,Oregon,20.149,-11.86,909
2026,Yale,10.9363,-2.1463,908
2026,Hofstra,8.211,0,0
2026,High Point,9.315,-1.175,906
2026,Xavier,17.1723,-9.1693,905
2026,Wyoming,7.7,0,0
2026,Notre Dame,7.663,0,0
2026,Mississippi St.,22.0726,-14.6696,902
2026,Cal Baptist,7.046,0,0
2026,Saint Joseph's,7.047,0,0
2026,South Carolina,7.168,0,0
2026,DePaul,6.811,0,0
2026,Pittsburgh,7.087,0,0
2026,Kansas St.,7.085,0,0
2026,Seattle,6.166,0,0
2026,Sam Houston St.,6.691,0,0
2026,Davidson,6.462,0,0
2026,Pacific,6.408,0,0
2026,UC Irvine,5.851,0,0
2026,UNLV,6.355,0,0
2026,Illinois St.,5.784,0,0
2026,Illinois Chicago,5.801,0,0
2026,St. Thomas,6.002,0,0
2026,Maryland,26.3341,-20.4871,886
2026,North Dakota St.,5.409,0,0
2026,Utah,5.5,0,0
2026,Hawaii,5.061,0,0
2026,Rutgers,5.024,0,0
2026,George Mason,4.954,0,0
2026,UT Rio Grande Valley,4.749,0,0
2026,Liberty,13.5325,-8.8625,879
2026,Duquesne,4.165,0,0
2026,UC San Diego,18.7768,-14.8098,877
2026,Florida Atlantic,3.95,0,0
2026,San Francisco,4.008,0,0
2026,Washington St.,3.922,0,0
2026,UNC Wilmington,5.1429,-1.3519,873
2026,UC Santa Barbara,3.726,0,0
2026,Montana St.,3.584,0,0
2026,Southern Illinois,3.142,0,0
2026,Wright St.,3.382,0,0
2026,Fresno St.,3.167,0,0
2026,Toledo,3.335,0,0
2026,Memphis,15.1407,-12.0617,866
2026,Bradley,2.932,0,0
2026,Murray St.,2.958,0,0
2026,Idaho,2.646,0,0
2026,UAB,2.47,0,0
2026,Northern Colorado,2.452,0,0
2026,Boston College,2.259,0,0
2026,Penn St.,2.11,0,0
2026,North Texas,1.903,0,0
2026,Troy,6.878,-5.213,857
2026,Temple,1.571,0,0
2026,Central Arkansas,1.512,0,0
2026,Kennesaw St.,1.288,0,0
2026,Arkansas St.,1.265,0,0
2026,Loyola Marymount,1.023,0,0
2026,Navy,1.018,0,0
2026,Eastern Washington,1.038,0,0
2026,Robert Morris,2.0824,-1.0854,849
2026,Rhode Island,0.882,0,0
2026,Bowling Green,0.83,0,0
2026,Penn,0.752,0,0
2026,St. Bonaventure,0.773,0,0
2026,Cornell,0.696,0,0
2026,Middle Tennessee,0.591,0,0
2026,Kent St.,0.576,0,0
2026,Portland St.,0.496,0,0
2026,Austin Peay,0.466,0,0
2026,Georgia Tech,0.392,0,0
2026,William & Mary,0.389,0,0
2026,Valparaiso,0.358,0,0
2026,Oregon St.,0.36,0,0
2026,UC Davis,0.294,0,0
2026,Harvard,0.21,0,0
2026,Montana,0.3947,-0.2037,833
2026,Cal St. Northridge,0.04,0,0
2026,Richmond,-0.138,0,0
2026,Western Kentucky,-0.177,0,0
2026,Merrimack,-0.239,0,0
2026,Monmouth,-0.42,0,0
2026,Charlotte,-0.615,0,0
2026,Winthrop,-0.672,0,0
2026,Massachusetts,-0.735,0,0
2026,Towson,-0.789,0,0
2026,FIU,-0.875,0,0
2026,Fordham,-1.044,0,0
2026,Oakland,-1.177,0,0
2026,Northern Kentucky,-1.198,0,0
2026,Green Bay,-1.259,0,0
2026,Texas A&M Corpus Chris,-1.216,0,0
2026,UT Arlington,-1.23,0,0
2026,Utah Tech,-1.462,0,0
2026,Appalachian St.,-1.635,0,0
2026,UMBC,-1.704,0,0
2026,Siena,-1.729,0,0
2026,Detroit Mercy,-1.853,0,0
2026,Campbell,-1.886,0,0
2026,Portland,-1.817,0,0
2026,Charleston,-2,0,0
2026,Youngstown St.,-1.997,0,0
2026,Louisiana Tech,-1.97,0,0
2026,Cal St. Fullerton,-2.082,0,0
2026,New Mexico St.,-2.143,0,0
2026,Furman,-2.122,0,0
2026,East Tennessee St.,-2.184,0,0
2026,South Alabama,-2.178,0,0
2026,Queens,-2.458,0,0
2026,Missouri St.,-2.345,0,0
2026,New Orleans,-2.462,0,0
2026,Tulane,-2.591,0,0
2026,Drexel,-2.496,0,0
2026,Weber St.,-2.741,0,0
2026,Jacksonville St.,-2.649,0,0
2026,Indiana St.,-2.831,0,0
2026,Howard,-2.796,0,0
2026,Columbia,-2.961,0,0
2026,Marist,-2.873,0,0
2026,Mercer,-3.271,0,0
2026,James Madison,-3.339,0,0
2026,Rice,-3.586,0,0
2026,Marshall,-3.792,0,0
2026,San Diego,-3.724,0,0
2026,San Jose St.,-3.878,0,0
2026,Drake,14.1426,-17.9496,784
2026,La Salle,-3.699,0,0
2026,Cal Poly,-3.894,0,0
2026,Tennessee St.,-4.153,0,0
2026,Buffalo,-4.501,0,0
2026,Quinnipiac,-4.228,0,0
2026,Southern Miss,-4.281,0,0
2026,South Dakota St.,-4.402,0,0
2026,Western Carolina,-4.668,0,0
2026,Bethune Cookman,-4.449,0,0
2026,Tarleton St.,-4.458,0,0
2026,Ohio,-4.893,0,0
2026,Stony Brook,-4.961,0,0
2026,Texas St.,-5.197,0,0
2026,Georgia Southern,-5.922,0,0
2026,Coastal Carolina,-5.68,0,0
2026,Denver,-6.43,0,0
2026,Samford,-6.148,0,0
2026,Lipscomb,9.4858,-15.5068,766
2026,Old Dominion,-6.28,0,0
2026,LIU,-6.134,0,0
2026,Eastern Michigan,-6.098,0,0
2026,Florida Gulf Coast,-6.391,0,0
2026,Nebraska Omaha,0.511,-7.056,761
2026,Long Beach St.,-6.505,0,0
2026,Saint Peter's,-6.575,0,0
2026,Radford,-6.85,0,0
2026,Central Michigan,-7.077,0,0
2026,American,-5.9762,-1.0288,756
2026,Iona,-6.922,0,0
2026,Boston University,-7.512,0,0
2026,Nicholls St.,-7.169,0,0
2026,Colgate,-7.348,0,0
2026,UC Riverside,-7.104,0,0
2026,Southern,-7.365,0,0
2026,Princeton,-7.359,0,0
2026,Lamar,-7.237,0,0
2026,Charleston Southern,-7.401,0,0
2026,Southeast Missouri St.,-7.136,0,0
2026,Pepperdine,-7.601,0,0
2026,Abilene Christian,-7.201,0,0
2026,UNC Asheville,-7.576,0,0
2026,Vermont,-7.657,0,0
2026,Fairfield,-7.746,0,0
2026,East Carolina,-7.648,0,0
2026,Idaho St.,-8.145,0,0
2026,SIU Edwardsville,-4.3139,-3.1661,738
2026,Southern Utah,-8.119,0,0
2026,Tennessee Martin,-7.587,0,0
2026,Elon,-8.397,0,0
2026,Purdue Fort Wayne,-8.391,0,0
2026,Sacramento St.,-8.547,0,0
2026,North Dakota,-8.666,0,0
2026,Wofford,4.1591,-13.0421,731
2026,Longwood,-8.701,0,0
2026,UTEP,-8.554,0,0
2026,Dartmouth,-8.88,0,0
2026,Lindenwood,-8.56,0,0
2026,Milwaukee,-9.157,0,0
2026,Incarnate Word,-9.503,0,0
2026,Loyola Chicago,-9.077,0,0
2026,Delaware,-9.425,0,0
2026,South Dakota,-9.495,0,0
2026,Mount St. Mary's,-6.6722,-2.4528,721
2026,Ball St.,-9.253,0,0
2026,Western Michigan,-10.366,0,0
2026,Prairie View A&M,-9.967,0,0
2026,Presbyterian,-10.101,0,0
2026,Lehigh,-10.226,0,0
2026,Mercyhurst,-10.18,0,0
2026,Jacksonville,-10.436,0,0
2026,Louisiana,-10.277,0,0
2026,Arkansas Pine Bluff,-10.903,0,0
2026,UNC Greensboro,-11.24,0,0
2026,Brown,-10.211,0,0
2026,Morehead St.,-11.315,0,0
2026,IU Indy,-11.309,0,0
2026,Florida A&M,-10.588,0,0
2026,East Texas A&M,-10.882,0,0
2026,Northeastern,-11.58,0,0
2026,Southeastern Louisiana,-10.8,0,0
2026,West Georgia,-11.107,0,0
2026,Sacred Heart,-11.781,0,0
2026,Bellarmine,-12.828,0,0
2026,Eastern Kentucky,-12.304,0,0
2026,Grambling St.,-10.976,0,0
2026,Oral Roberts,-11.706,0,0
2026,Evansville,-11.954,0,0
2026,USC Upstate,-11.751,0,0
2026,Hampton,-12.002,0,0
2026,Northwestern St.,-12.047,0,0
2026,Texas Southern,-12.225,0,0
2026,Alabama A&M,-12.525,0,0
2026,Alabama St.,-9.235,-2.82,691
2026,Houston Christian,-12.296,0,0
2026,Stetson,-12.731,0,0
2026,North Carolina A&T,19.5367,-32.3327,688
2026,Chattanooga,-13.092,0,0
2026,Central Connecticut,-13.008,0,0
2026,Cleveland St.,-13.871,0,0
2026,Le Moyne,-12.772,0,0
2026,Georgia St.,-12.707,0,0
2026,Northern Arizona,-13.648,0,0
2026,Wagner,-13.193,0,0
2026,Albany,-14.479,0,0
2026,UMass Lowell,-14.491,0,0
2026,Lafayette,-14.986,0,0
2026,NJIT,-14.749,0,0
2026,Tennessee Tech,-15.499,0,0
2026,Cal St. Bakersfield,-15.632,0,0
2026,Loyola MD,-15.956,0,0
2026,Bucknell,-15.316,0,0
2026,Little Rock,-15.716,0,0
2026,North Florida,-16.857,0,0
2026,New Haven,-15.615,0,0
2026,Eastern Illinois,-15.979,0,0
2026,Norfolk St.,-1.5212,-15.6498,668
2026,Jackson St.,-17.289,0,0
2026,Holy Cross,-17.265,0,0
2026,Manhattan,-18.12,0,0
2026,Niagara,-17.495,0,0
2026,UTSA,-17.667,0,0
2026,Stonehill,-16.399,0,0
2026,North Alabama,-18.127,0,0
2026,Fairleigh Dickinson,-18.428,0,0
2026,Chicago St.,-18.801,0,0
2026,Northern Illinois,-18.021,0,0
2026,Army,-18.819,0,0
2026,Air Force,-18.129,0,0
2026,Alcorn St.,-18.49,0,0
2026,Canisius,-18.435,0,0
2026,Southern Indiana,-18.637,0,0
2026,The Citadel,-20.641,0,0
2026,Louisiana Monroe,-21.201,0,0
2026,Maine,-19.627,0,0
2026,New Hampshire,-20.627,0,0
2026,Saint Francis,-12.7602,-9.1588,648
2026,North Carolina Central,19.5367,-42.3287,647
2026,South Carolina St.,-21.968,0,0
2026,Morgan St.,-22.763,0,0
2026,Bryant,1.1776,-24.6496,644
2026,Maryland Eastern Shore,-23.331,0,0
2026,Binghamton,-24.657,0,0
2026,Rider,-24.263,0,0
2026,UMKC,-24.288,0,0
2026,VMI,-25.789,0,0
2026,Gardner Webb,-26.734,0,0
2026,Delaware St.,-26.129,0,0
2026,Coppin St.,-27.845,0,0
2026,Mississippi Valley St.,22.0726,-51.9086,635
2026,Western Illinois,-30.574,0,0